__src_id,__dst_id,type
"location/stavanger/448d887d1bee0a6b51bf9afadc05a838","location/rogaland/c95ccb3222ddbfd141d04f11a5208059","locatedIn"
"location/wayne/284294fd14de41184b0a7e87cf712ebc","location/pennsylvania/45f8ca9499bf3a2d795f3c1e74072327","locatedIn"
"location/whitefield/ca19b53e16956e84d548cd6263a04292","location/karnataka/cd79504e3c0a954fa3c6094f46c0d524","locatedIn"
"location/wayne/284294fd14de41184b0a7e87cf712ebc","location/pennsylvania/45f8ca9499bf3a2d795f3c1e74072327","locatedIn"
"location/saint-petersburg/62aa7921d33595a914ca3606fdcd56f5","location/saint-petersburg-city/1cc9ee6afec3ec4bc318dd4bb2964f90","locatedIn"
"organization/karmadata","location/hingham/a2b9d5d97a2c066f23e4be3b4724a5c4","locatedIn"
"location/wayne/284294fd14de41184b0a7e87cf712ebc","location/pennsylvania/45f8ca9499bf3a2d795f3c1e74072327","locatedIn"
"location/linz/a563ae3d12394b87458283d765c54455","location/oberosterreich/75166eb029ad75183d4ad3a0ff6545ce","locatedIn"
"organization/queryio","location/cupertino/d66d4982f32de52fa88aaa07a88fe13e","locatedIn"
"organization/sinequa","location/paris/5805284c00a4f0aab8115843398ff2bb","locatedIn"
"organization/intersec","location/paris/5805284c00a4f0aab8115843398ff2bb","locatedIn"
"organization/sourcethought","location/san-juan-capistrano/6a376457f19db2c52dd869ceed25513e","locatedIn"
"organization/engineroom-io","location/alexandria/b2fabbb885e6cff5c4844a9ce66fb49f","locatedIn"
"organization/yodil","location/charlotte/7e6e1c52039c04cd9e98ea05bed9f66b","locatedIn"
"organization/beyond-media-global","location/hong-kong/ad27df91c866cb08f3b624121637bf69","locatedIn"
"category/Health and Wellness","keyword/wellness","isRelatedToKeyword"
"category/Health and Wellness","keyword/and","isRelatedToKeyword"
"category/Real Estate","keyword/real estate","isRelatedToKeyword"
"organization/valar-ventures","organization/granify","investedIn"
"organization/valar-ventures","organization/granify","investedIn"
"organization/extreme-startups","organization/granify","investedIn"
"organization/romulus-capital","organization/ginger-io","investedIn"
"organization/romulus-capital","organization/ginger-io","investedIn"
"organization/samsung-ventures","organization/learnsprout","investedIn"
"organization/startupbootcamp","organization/getbulb","investedIn"
"organization/newspring-capital","organization/velocidata","investedIn"
"organization/nextstage-capital","organization/sidecar","investedIn"
"organization/nextstage-capital","organization/sidecar","investedIn"
"organization/nissay-capital","organization/flydata","investedIn"
"organization/nissay-capital","organization/flydata","investedIn"
"organization/northgate-capital","organization/marklogic","investedIn"
